D,NN_E_s0.05,Num_E_s0.05,NN_E_s0.10,Num_E_s0.10,NN_E_s0.15,Num_E_s0.15,NN_E_s0.20,Num_E_s0.20,NN_E_s0.25,Num_E_s0.25
6.40000000e-01,7.03494453e+00,7.02051226e+00,8.79743958e+00,8.75205957e+00,9.70006466e+00,9.59053176e+00,1.02882204e+01,1.01602916e+01,1.07170458e+01,1.05152377e+01
6.60000000e-01,6.85340929e+00,6.83057692e+00,8.56633282e+00,8.50992713e+00,9.44173622e+00,9.32147337e+00,1.00113869e+01,9.87227693e+00,1.04263363e+01,1.02151346e+01
6.80000000e-01,6.67886400e+00,6.64808376e+00,8.34409904e+00,8.27752416e+00,9.19333649e+00,9.06339086e+00,9.74526787e+00,9.59614348e+00,1.01469421e+01,9.92750213e+00
7.00000000e-01,6.51084423e+00,6.47258684e+00,8.13015747e+00,8.05425926e+00,8.95427704e+00,8.81561107e+00,9.48919106e+00,9.33115756e+00,9.87808037e+00,9.65156672e+00
7.20000000e-01,6.34893417e+00,6.30367801e+00,7.92399120e+00,7.83959141e+00,8.72391701e+00,8.57751847e+00,9.24247265e+00,9.07664849e+00,9.61915112e+00,9.38662135e+00
7.40000000e-01,6.19274473e+00,6.14098289e+00,7.72512674e+00,7.63302453e+00,8.50175667e+00,8.34854875e+00,9.00457382e+00,8.83200157e+00,9.36948776e+00,9.13201809e+00
7.60000000e-01,6.04194117e+00,5.98415715e+00,7.53310537e+00,7.43410260e+00,8.28728104e+00,8.12818336e+00,8.77494907e+00,8.59665208e+00,9.12859821e+00,8.88716185e+00
7.80000000e-01,5.89619303e+00,5.83288345e+00,7.34751129e+00,7.24240552e+00,8.08005810e+00,7.91594476e+00,8.55315018e+00,8.37008010e+00,8.89590836e+00,8.65150481e+00
8.00000000e-01,5.75523186e+00,5.68686870e+00,7.16803360e+00,7.05754544e+00,7.87969637e+00,7.71139221e+00,8.33871460e+00,8.15180592e+00,8.67101002e+00,8.42454163e+00
8.20000000e-01,5.61876392e+00,5.54584162e+00,6.99430895e+00,6.87916361e+00,7.68579769e+00,7.51411817e+00,8.13130188e+00,7.94138608e+00,8.45347023e+00,8.20580525e+00
8.40000000e-01,5.48657465e+00,5.40955068e+00,6.82603264e+00,6.70692752e+00,7.49804640e+00,7.32374503e+00,7.93046999e+00,7.73840980e+00,8.24294090e+00,7.99486312e+00
8.60000000e-01,5.35843563e+00,5.27776221e+00,6.66294384e+00,6.54052843e+00,7.31613350e+00,7.13992234e+00,7.73594522e+00,7.54249597e+00,8.03905678e+00,7.79131398e+00
8.80000000e-01,5.23413563e+00,5.15025877e+00,6.50478983e+00,6.37967922e+00,7.13974810e+00,6.96232425e+00,7.54739046e+00,7.35329033e+00,7.84145355e+00,7.59478496e+00
9.00000000e-01,5.11350584e+00,5.02683766e+00,6.35131025e+00,6.22411237e+00,6.96867132e+00,6.79064732e+00,7.36455107e+00,7.17046306e+00,7.64988518e+00,7.40492898e+00
9.20000000e-01,4.99635744e+00,4.90730968e+00,6.20232487e+00,6.07357830e+00,6.80264759e+00,6.62460852e+00,7.18715620e+00,6.99370667e+00,7.46406412e+00,7.22142248e+00
9.40000000e-01,4.88252592e+00,4.79149790e+00,6.05759382e+00,5.92784376e+00,6.64143085e+00,6.46394348e+00,7.01494598e+00,6.82273397e+00,7.28375196e+00,7.04396338e+00
9.60000000e-01,4.77187395e+00,4.67923667e+00,5.91696215e+00,5.78669050e+00,6.48482943e+00,6.30840490e+00,6.84771919e+00,6.65727642e+00,7.10868216e+00,6.87226927e+00
9.80000000e-01,4.66426849e+00,4.57037066e+00,5.78024101e+00,5.64991399e+00,6.33264589e+00,6.15776113e+00,6.68526506e+00,6.49708258e+00,6.93864107e+00,6.70607573e+00
1.00000000e+00,4.55958748e+00,4.46475406e+00,5.64729166e+00,5.51732233e+00,6.18469667e+00,6.01179489e+00,6.52739668e+00,6.34191666e+00,6.77346134e+00,6.54513491e+00
