D,NN_p1,NN_p5,NN_p20,NN_p100,NN_p500,NN_p3000,PBE_p1,PBE_p5,PBE_p20,PBE_p100,PBE_p500,PBE_p3000
5.40000000e-01,1.60283077e+00,9.17630386e+00,2.05224113e+01,2.80864544e+01,2.85358772e+01,2.77966690e+01,1.61675172e+00,9.31226475e+00,1.96225823e+01,2.66218109e+01,2.85740115e+01,2.90112275e+01
5.60000000e-01,1.55105853e+00,8.91810417e+00,1.98132954e+01,2.68591537e+01,2.72003288e+01,2.65613155e+01,1.56450642e+00,9.03786181e+00,1.89192745e+01,2.55060090e+01,2.73247462e+01,2.77310624e+01
5.80000000e-01,1.50184011e+00,8.67158031e+00,1.91401939e+01,2.57116508e+01,2.59634132e+01,2.54184628e+01,1.51471579e+00,8.77578518e+00,1.82545321e+01,2.44635579e+01,2.61618611e+01,2.65403966e+01
6.00000000e-01,1.45498025e+00,8.43586159e+00,1.85002728e+01,2.46367931e+01,2.48152027e+01,2.43580704e+01,1.46720683e+00,8.52517221e+00,1.76252850e+01,2.34875676e+01,2.50768240e+01,2.54302918e+01
6.20000000e-01,1.41030407e+00,8.21011066e+00,1.78909779e+01,2.36282806e+01,2.37469234e+01,2.33718739e+01,1.42182363e+00,8.28524553e+00,1.70287874e+01,2.25719852e+01,2.40621907e+01,2.43929618e+01
6.40000000e-01,1.36765397e+00,7.99359179e+00,1.73101788e+01,2.26805191e+01,2.27510567e+01,2.24523678e+01,1.37842515e+00,8.05530221e+00,1.64625748e+01,2.17114713e+01,2.31114369e+01,2.34215923e+01
6.60000000e-01,1.32689452e+00,7.78563690e+00,1.67558231e+01,2.17885056e+01,2.18208103e+01,2.15931683e+01,1.33688345e+00,7.83470460e+00,1.59244286e+01,2.09012980e+01,2.22188201e+01,2.25101940e+01
6.80000000e-01,1.28789616e+00,7.58569288e+00,1.62260742e+01,2.09478264e+01,2.09502525e+01,2.07884541e+01,1.29708209e+00,7.62287248e+00,1.54123452e+01,2.01372636e+01,2.13792660e+01,2.16534813e+01
7.00000000e-01,1.25054181e+00,7.39318895e+00,1.57193756e+01,2.01544170e+01,2.01342163e+01,2.00333748e+01,1.25891479e+00,7.41927643e+00,1.49245106e+01,1.94156214e+01,2.05882740e+01,2.08467721e+01
7.20000000e-01,1.21472752e+00,7.20768309e+00,1.52341719e+01,1.94046745e+01,1.93679199e+01,1.93234024e+01,1.22228431e+00,7.22343206e+00,1.44592775e+01,1.87330197e+01,1.98418385e+01,2.00859037e+01
7.40000000e-01,1.18035793e+00,7.02870083e+00,1.47691908e+01,1.86953144e+01,1.86472912e+01,1.86546631e+01,1.18710145e+00,7.03489510e+00,1.40151470e+01,1.80864512e+01,1.91363825e+01,1.93671628e+01
7.60000000e-01,1.14734352e+00,6.85589075e+00,1.43232441e+01,1.80234776e+01,1.79684658e+01,1.80236244e+01,1.15328416e+00,6.85325709e+00,1.35907514e+01,1.74732094e+01,1.84687018e+01,1.86872268e+01
7.80000000e-01,1.11560798e+00,6.68885279e+00,1.38951521e+01,1.73864918e+01,1.73281002e+01,1.74271698e+01,1.12075686e+00,6.67814165e+00,1.31848403e+01,1.68908524e+01,1.78359177e+01,1.80431132e+01
8.00000000e-01,1.08507788e+00,6.52729750e+00,1.34839277e+01,1.67818985e+01,1.67232552e+01,1.68625145e+01,1.08944972e+00,6.50920124e+00,1.27962678e+01,1.63371710e+01,1.72354364e+01,1.74321374e+01
8.20000000e-01,1.05568063e+00,6.37090492e+00,1.30886335e+01,1.62074680e+01,1.61511822e+01,1.63271255e+01,1.05929815e+00,6.34611429e+00,1.24239820e+01,1.58101619e+01,1.66649151e+01,1.68518765e+01
8.40000000e-01,1.02736139e+00,6.21940422e+00,1.27084494e+01,1.56612196e+01,1.56093740e+01,1.58187418e+01,1.03024225e+00,6.18858270e+00,1.20670153e+01,1.53080039e+01,1.61222321e+01,1.63001381e+01
8.60000000e-01,1.00005722e+00,6.07254553e+00,1.23425684e+01,1.51413279e+01,1.50956802e+01,1.53353987e+01,1.00222637e+00,6.03632962e+00,1.17244759e+01,1.48290378e+01,1.56054610e+01,1.57749333e+01
8.80000000e-01,9.73713577e-01,5.93010187e+00,1.19902220e+01,1.46460466e+01,1.46079874e+01,1.48751860e+01,9.75198767e-01,5.88909750e+00,1.13955405e+01,1.43717490e+01,1.51128494e+01,1.52744540e+01
9.00000000e-01,9.48287308e-01,5.79186392e+00,1.16507511e+01,1.41738119e+01,1.41444426e+01,1.44364491e+01,9.49111195e-01,5.74664635e+00,1.10794480e+01,1.39347517e+01,1.46427990e+01,1.47970525e+01
9.20000000e-01,9.23727810e-01,5.65763950e+00,1.13235683e+01,1.37232800e+01,1.37034864e+01,1.40176830e+01,9.23918633e-01,5.60875217e+00,1.07754933e+01,1.35167757e+01,1.41938495e+01,1.43412243e+01
9.40000000e-01,8.99992466e-01,5.52722359e+00,1.10080318e+01,1.32930250e+01,1.32834711e+01,1.36175165e+01,8.99578998e-01,5.47520559e+00,1.04830224e+01,1.31166547e+01,1.37646638e+01,1.39055927e+01
9.60000000e-01,8.77042532e-01,5.40045500e+00,1.07036295e+01,1.28819351e+01,1.28830652e+01,1.32347183e+01,8.76052897e-01,5.34581066e+00,1.02014278e+01,1.27333155e+01,1.33540154e+01,1.34888955e+01
9.80000000e-01,8.54843736e-01,5.27719784e+00,1.04098415e+01,1.24887791e+01,1.25008974e+01,1.28681145e+01,8.53303403e-01,5.22038367e+00,9.93014419e+00,1.23657692e+01,1.29607770e+01,1.30899737e+01
1.00000000e+00,8.33357394e-01,5.15729904e+00,1.01262016e+01,1.21125650e+01,1.21358509e+01,1.25166798e+01,8.31295860e-01,5.09875223e+00,9.66864527e+00,1.20131032e+01,1.25839108e+01,1.27077606e+01
1.02000000e+00,8.12552035e-01,5.04061794e+00,9.85225487e+00,1.17523460e+01,1.17868605e+01,1.21794357e+01,8.09997704e-01,4.98075433e+00,9.41643993e+00,1.16744735e+01,1.22224598e+01,1.23412733e+01
1.04000000e+00,7.92398274e-01,4.92704391e+00,9.58754539e+00,1.14071617e+01,1.14528856e+01,1.18555393e+01,7.89378293e-01,4.86623752e+00,9.17306962e+00,1.13490989e+01,1.18755402e+01,1.19896041e+01
1.06000000e+00,7.72868335e-01,4.81643105e+00,9.33175373e+00,1.10762386e+01,1.11330070e+01,1.15441256e+01,7.69408768e-01,4.75505823e+00,8.93810555e+00,1.10362548e+01,1.15423340e+01,1.16519141e+01
1.08000000e+00,7.53932595e-01,4.70869637e+00,9.08443356e+00,1.07587700e+01,1.08263769e+01,1.12445221e+01,7.50061917e-01,4.64708106e+00,8.71114633e+00,1.07352684e+01,1.12220838e+01,1.13274262e+01
1.10000000e+00,7.35566437e-01,4.60372925e+00,8.84527779e+00,1.04540539e+01,1.05322542e+01,1.09560108e+01,7.31312053e-01,4.54217817e+00,8.49181582e+00,1.04455143e+01,1.09140866e+01,1.10154198e+01
1.12000000e+00,7.17748880e-01,4.50142860e+00,8.61394215e+00,1.01613512e+01,1.02498503e+01,1.06779356e+01,7.13134907e-01,4.44022879e+00,8.27976112e+00,1.01664101e+01,1.06176893e+01,1.07152257e+01
1.14000000e+00,7.00455487e-01,4.40170765e+00,8.39010429e+00,9.88008785e+00,9.97851086e+00,1.04097776e+01,6.95507523e-01,4.34111864e+00,8.07465082e+00,9.89741287e+00,1.03322844e+01,1.04262217e+01
1.16000000e+00,6.83667839e-01,4.30448246e+00,8.17349148e+00,9.60964775e+00,9.71764374e+00,1.01509533e+01,6.78408171e-01,4.24473954e+00,7.87617336e+00,9.63801591e+00,1.00573058e+01,1.01478283e+01
1.18000000e+00,6.67361319e-01,4.20966005e+00,7.96376467e+00,9.34949493e+00,9.46663857e+00,9.90097046e+00,6.61816261e-01,4.15098895e+00,7.68403554e+00,9.38774573e+00,9.79222571e+00,9.87950527e+00
1.20000000e+00,6.51520431e-01,4.11717987e+00,7.76071072e+00,9.09909916e+00,9.22495270e+00,9.65935040e+00,6.45712265e-01,4.05976963e+00,7.49796122e+00,9.14615941e+00,9.53655122e+00,9.62074845e+00
1.22000000e+00,6.36127472e-01,4.02696705e+00,7.56405687e+00,8.85794830e+00,8.99210548e+00,9.42571259e+00,6.30077651e-01,3.97098924e+00,7.31769007e+00,8.91284210e+00,9.28982149e+00,9.37108659e+00
1.24000000e+00,6.21163726e-01,3.93893862e+00,7.37355757e+00,8.62564850e+00,8.76761341e+00,9.19960690e+00,6.14894813e-01,3.88456003e+00,7.14297641e+00,8.68740489e+00,9.05160522e+00,9.13007881e+00
1.26000000e+00,6.06615722e-01,3.85305452e+00,7.18896627e+00,8.40169811e+00,8.55105400e+00,8.98070717e+00,6.00147014e-01,3.80039859e+00,6.97358826e+00,8.46948281e+00,8.82149831e+00,8.89731220e+00
1.28000000e+00,5.92465580e-01,3.76921725e+00,7.01009798e+00,8.18575764e+00,8.34199142e+00,8.76862526e+00,5.85818332e-01,3.71842553e+00,6.80930631e+00,8.25873298e+00,8.59912177e+00,8.67239962e+00
1.30000000e+00,5.78702629e-01,3.68739223e+00,6.83670139e+00,7.97739792e+00,8.14008427e+00,8.56305695e+00,5.71893609e-01,3.63856521e+00,6.64992315e+00,8.05483299e+00,8.38411974e+00,8.45497769e+00
1.32000000e+00,5.65308750e-01,3.60751987e+00,6.66860485e+00,7.77629471e+00,7.94494772e+00,8.36370182e+00,5.58358401e-01,3.56074558e+00,6.49524237e+00,7.85747937e+00,8.17615780e+00,8.24470504e+00
1.34000000e+00,5.52273870e-01,3.52954245e+00,6.50559950e+00,7.58212328e+00,7.75626373e+00,8.17027950e+00,5.45198941e-01,3.48489789e+00,6.34507793e+00,7.66638625e+00,7.97492137e+00,8.04126065e+00
1.36000000e+00,5.39584398e-01,3.45340466e+00,6.34751987e+00,7.39451027e+00,7.57372618e+00,7.98251200e+00,5.32402092e-01,3.41095655e+00,6.19925341e+00,7.48128408e+00,7.78011424e+00,7.84434232e+00
1.38000000e+00,5.27230203e-01,3.37906122e+00,6.19415331e+00,7.21319437e+00,7.39702511e+00,7.80016279e+00,5.19955315e-01,3.33885890e+00,6.05760144e+00,7.30191847e+00,7.59145726e+00,7.65366538e+00
1.40000000e+00,5.15196383e-01,3.30646181e+00,6.04537630e+00,7.03789377e+00,7.22588730e+00,7.62299681e+00,5.07846633e-01,3.26854506e+00,5.91996309e+00,7.12804916e+00,7.40868714e+00,7.46896136e+00
1.42000000e+00,5.03476381e-01,3.23556280e+00,5.90098047e+00,6.86833715e+00,7.06009865e+00,7.45081139e+00,4.96064598e-01,3.19995778e+00,5.78618736e+00,6.95944905e+00,7.23155532e+00,7.28997691e+00
1.44000000e+00,4.92057830e-01,3.16631699e+00,5.76084995e+00,6.70425034e+00,6.89935684e+00,7.28337908e+00,4.84598262e-01,3.13304227e+00,5.65613069e+00,6.79590330e+00,7.05982694e+00,7.11647273e+00
1.46000000e+00,4.80931789e-01,3.09868073e+00,5.62481403e+00,6.54542780e+00,6.74346209e+00,7.12053823e+00,4.73437149e-01,3.06774608e+00,5.52965648e+00,6.63720850e+00,6.89327995e+00,6.94822258e+00
1.48000000e+00,4.70087320e-01,3.03261185e+00,5.49272585e+00,6.39163637e+00,6.59220123e+00,6.96207523e+00,4.62571232e-01,3.00401895e+00,5.40663473e+00,6.48317196e+00,6.73170421e+00,6.78501245e+00
1.50000000e+00,4.59518015e-01,2.96807551e+00,5.36446905e+00,6.24264765e+00,6.44535780e+00,6.80783033e+00,4.51990902e-01,2.94181273e+00,5.28694155e+00,6.33361095e+00,6.57490073e+00,6.62663972e+00
1.52000000e+00,4.49212879e-01,2.90502501e+00,5.23990393e+00,6.09827566e+00,6.30277681e+00,6.65764284e+00,4.41686953e-01,2.88108123e+00,5.17045890e+00,6.18835215e+00,6.42268090e+00,6.47291239e+00
1.54000000e+00,4.39165562e-01,2.84343648e+00,5.11889505e+00,5.95829868e+00,6.16423082e+00,6.51137495e+00,4.31650557e-01,2.82178012e+00,5.05707419e+00,6.04723096e+00,6.27486587e+00,6.32364843e+00
1.56000000e+00,4.29366529e-01,2.78326225e+00,5.00132704e+00,5.82256222e+00,6.02959681e+00,6.36887884e+00,4.21873243e-01,2.76386687e+00,4.94667998e+00,5.91009100e+00,6.13128588e+00,6.17867511e+00
1.58000000e+00,4.19809401e-01,2.72446775e+00,4.88707685e+00,5.69089746e+00,5.89869308e+00,6.22999144e+00,4.12346885e-01,2.70730060e+00,4.83917368e+00,5.77678364e+00,5.99177971e+00,6.03782845e+00
1.60000000e+00,4.10486519e-01,2.66702533e+00,4.77604437e+00,5.56311178e+00,5.77136374e+00,6.09461594e+00,4.03063675e-01,2.65204204e+00,4.73445731e+00,5.64716743e+00,5.85619417e+00,5.90095262e+00
1.62000000e+00,4.01391298e-01,2.61089039e+00,4.66811085e+00,5.43906975e+00,5.64749146e+00,5.96262741e+00,3.94016115e-01,2.59805343e+00,4.63243720e+00,5.52110777e+00,5.72438357e+00,5.76789947e+00
1.64000000e+00,3.92516553e-01,2.55604172e+00,4.56317854e+00,5.31861496e+00,5.52690697e+00,5.83388996e+00,3.85197000e-01,2.54529846e+00,4.53302377e+00,5.39847644e+00,5.59620926e+00,5.63852808e+00
1.66000000e+00,3.83855909e-01,2.50244570e+00,4.46113205e+00,5.20161438e+00,5.40950060e+00,5.70831251e+00,3.76599400e-01,2.49374218e+00,4.43613132e+00,5.27915125e+00,5.47153927e+00,5.51270429e+00
1.68000000e+00,3.75404119e-01,2.45006227e+00,4.36190224e+00,5.08792877e+00,5.29515219e+00,5.58579111e+00,3.68216650e-01,2.44335094e+00,4.34167782e+00,5.16301566e+00,5.35024783e+00,5.39030029e+00
1.70000000e+00,3.67153704e-01,2.39887810e+00,4.26537800e+00,4.97743082e+00,5.18375397e+00,5.46621943e+00,3.60042336e-01,2.39409233e+00,4.24958470e+00,5.04995849e+00,5.23221507e+00,5.27119430e+00
1.72000000e+00,3.59100223e-01,2.34885311e+00,4.17146301e+00,4.87000465e+00,5.07518101e+00,5.34950304e+00,3.52070286e-01,2.34593514e+00,4.15977666e+00,4.93987362e+00,5.11732666e+00,5.15527017e+00
1.74000000e+00,3.51238877e-01,2.29995942e+00,4.08009338e+00,4.76551199e+00,4.96933746e+00,5.23556328e+00,3.44294552e-01,2.29884926e+00,4.07218155e+00,4.83265965e+00,5.00547347e+00,5.04241707e+00
1.76000000e+00,3.43561083e-01,2.25217724e+00,3.99116802e+00,4.66387272e+00,4.86613226e+00,5.12430716e+00,3.36709409e-01,2.25280566e+00,3.98673013e+00,4.72821970e+00,4.89655132e+00,4.93252922e+00
1.78000000e+00,3.36065292e-01,2.20547295e+00,3.90461159e+00,4.56496763e+00,4.76545906e+00,5.01564932e+00,3.29309334e-01,2.20777634e+00,3.90335601e+00,4.62646114e+00,4.79046066e+00,4.82550553e+00
1.80000000e+00,3.28744531e-01,2.15982199e+00,3.82035351e+00,4.46868181e+00,4.66724110e+00,4.90951300e+00,3.22089008e-01,2.16373428e+00,3.82199542e+00,4.52729534e+00,4.68710635e+00,4.72124943e+00
1.82000000e+00,3.21596116e-01,2.11520052e+00,3.73830271e+00,4.37494993e+00,4.57139111e+00,4.80582714e+00,3.15043297e-01,2.12065339e+00,3.74258714e+00,4.43063748e+00,4.58639739e+00,4.61966857e+00
1.84000000e+00,3.14612538e-01,2.07158279e+00,3.65841317e+00,4.28367138e+00,4.47783041e+00,4.70452833e+00,3.08167250e-01,2.07850847e+00,3.66507237e+00,4.33640634e+00,4.48824670e+00,4.52067458e+00
1.86000000e+00,3.07791173e-01,2.02893734e+00,3.58060145e+00,4.19474220e+00,4.38648748e+00,4.60554743e+00,3.01456090e-01,2.03727518e+00,3.58939457e+00,4.24452411e+00,4.39257095e+00,4.42418290e+00
1.88000000e+00,3.01127732e-01,1.98725581e+00,3.50479674e+00,4.10809660e+00,4.29726601e+00,4.50879669e+00,2.94905203e-01,1.99692998e+00,3.51549938e+00,4.15491619e+00,4.29929028e+00,4.33011255e+00
1.90000000e+00,2.94617653e-01,1.94650733e+00,3.43093777e+00,4.02365208e+00,4.21012831e+00,4.41423893e+00,2.88510135e-01,1.95745012e+00,3.44333452e+00,4.06751107e+00,4.20832822e+00,4.23838594e+00
1.92000000e+00,2.88256973e-01,1.90666461e+00,3.35897088e+00,3.94131660e+00,4.12499762e+00,4.32179737e+00,2.82266585e-01,1.91881362e+00,3.37284970e+00,3.98224015e+00,4.11961143e+00,4.14892869e+00
1.94000000e+00,2.82042682e-01,1.86771524e+00,3.28883505e+00,3.86104202e+00,4.04180098e+00,4.23142385e+00,2.76170394e-01,1.88099918e+00,3.30399647e+00,3.89903757e+00,4.03306957e+00,4.06166951e+00
1.96000000e+00,2.75969237e-01,1.82963085e+00,3.22046304e+00,3.78273988e+00,3.96048450e+00,4.14306593e+00,2.70217544e-01,1.84398620e+00,3.23672820e+00,3.81784011e+00,3.94863517e+00,3.97653996e+00
1.98000000e+00,2.70034134e-01,1.79239643e+00,3.15381312e+00,3.70635819e+00,3.88098645e+00,4.05668068e+00,2.64404151e-01,1.80775475e+00,3.17099997e+00,3.73858703e+00,3.86624344e+00,3.89347439e+00
2.00000000e+00,2.64234781e-01,1.75598383e+00,3.08881021e+00,3.63182592e+00,3.80326462e+00,3.97217560e+00,2.58726457e-01,1.77228552e+00,3.10676850e+00,3.66121999e+00,3.78583218e+00,3.81240974e+00
2.02000000e+00,2.58566678e-01,1.72037816e+00,3.02543664e+00,3.55908346e+00,3.72727180e+00,3.88954282e+00,2.53180829e-01,1.73755979e+00,3.04399203e+00,3.58568287e+00,3.70734163e+00,3.73328545e+00
2.04000000e+00,2.53025472e-01,1.68555832e+00,2.96360230e+00,3.48807669e+00,3.65293789e+00,3.80871010e+00,2.47763749e-01,1.70355946e+00,2.98263034e+00,3.51192173e+00,3.63071434e+00,3.65604333e+00
2.06000000e+00,2.47610182e-01,1.65151381e+00,2.90329194e+00,3.41873693e+00,3.58022189e+00,3.72965121e+00,2.42471814e-01,1.67026694e+00,2.92264459e+00,3.43988465e+00,3.55589508e+00,3.58062741e+00
2.08000000e+00,2.42316216e-01,1.61821198e+00,2.84444475e+00,3.35102391e+00,3.50907588e+00,3.65231514e+00,2.37301730e-01,1.63766522e+00,2.86399732e+00,3.36952167e+00,3.48283074e+00,3.50698388e+00
2.10000000e+00,2.37141684e-01,1.58564603e+00,2.78702998e+00,3.28488636e+00,3.43946600e+00,3.57664847e+00,2.32250306e-01,1.60573778e+00,2.80665237e+00,3.30078469e+00,3.41147021e+00,3.43506098e+00
2.12000000e+00,2.32082516e-01,1.55378592e+00,2.73098087e+00,3.22027111e+00,3.37134433e+00,3.50262904e+00,2.27314451e-01,1.57446860e+00,2.75057481e+00,3.23362738e+00,3.34176427e+00,3.36480887e+00
2.14000000e+00,2.27136686e-01,1.52262902e+00,2.67627287e+00,3.15712023e+00,3.30466342e+00,3.43019366e+00,2.22491171e-01,1.54384214e+00,2.69573093e+00,3.16800512e+00,3.27366554e+00,3.29617957e+00
2.16000000e+00,2.22301409e-01,1.49215233e+00,2.62286282e+00,3.09540653e+00,3.23938441e+00,3.35933042e+00,2.17777565e-01,1.51384330e+00,2.64208812e+00,3.10387486e+00,3.20712840e+00,3.22912687e+00
2.18000000e+00,2.17573360e-01,1.46233988e+00,2.57070518e+00,3.03507519e+00,3.17548490e+00,3.28997779e+00,2.13170821e-01,1.48445745e+00,2.58961489e+00,3.04119513e+00,3.14210885e+00,3.16360625e+00
2.20000000e+00,2.12950930e-01,1.43317115e+00,2.51977801e+00,2.97609544e+00,3.11292291e+00,3.22211790e+00,2.08668212e-01,1.45567037e+00,2.53828078e+00,2.97992592e+00,3.07856450e+00,3.09957479e+00
2.22000000e+00,2.08430916e-01,1.40463769e+00,2.47002959e+00,2.91841888e+00,3.05165863e+00,3.15570855e+00,2.04267095e-01,1.42746824e+00,2.48805636e+00,2.92002862e+00,3.01645447e+00,3.03699111e+00
2.24000000e+00,2.04010695e-01,1.37672031e+00,2.42143273e+00,2.86200571e+00,2.99165511e+00,3.09071136e+00,1.99964905e-01,1.39983765e+00,2.43891312e+00,2.86146599e+00,2.95573931e+00,2.97581530e+00
2.26000000e+00,1.99688941e-01,1.34940660e+00,2.37395668e+00,2.80683041e+00,2.93289137e+00,3.02709889e+00,1.95759154e-01,1.37276556e+00,2.39082351e+00,2.80420206e+00,2.89638098e+00,2.91600885e+00
2.28000000e+00,1.95462555e-01,1.32267976e+00,2.32755733e+00,2.75284243e+00,2.87532759e+00,2.96483469e+00,1.91647429e-01,1.34623929e+00,2.34376085e+00,2.74820208e+00,2.83834275e+00,2.85753459e+00
2.30000000e+00,1.91328764e-01,1.29652405e+00,2.28221822e+00,2.70002055e+00,2.81894493e+00,2.90389538e+00,1.87627388e-01,1.32024652e+00,2.29769929e+00,2.69343251e+00,2.78158914e+00,2.80035664e+00
2.32000000e+00,1.87286437e-01,1.27093005e+00,2.23789859e+00,2.64832282e+00,2.76370335e+00,2.84424686e+00,1.83696755e-01,1.29477528e+00,2.25261384e+00,2.63986091e+00,2.72608591e+00,2.74444035e+00
2.34000000e+00,1.83332890e-01,1.24588406e+00,2.19457173e+00,2.59771943e+00,2.70957899e+00,2.78585458e+00,1.79853324e-01,1.26981391e+00,2.20848025e+00,2.58745594e+00,2.67179994e+00,2.68975224e+00
2.36000000e+00,1.79466382e-01,1.22137105e+00,2.15221524e+00,2.54818273e+00,2.65655494e+00,2.72870755e+00,1.76094950e-01,1.24535108e+00,2.16527504e+00,2.53618730e+00,2.61869926e+00,2.63625996e+00
