D,Num_s0.05,New_s0.05,Num_s0.10,New_s0.10,Num_s0.15,New_s0.15,Num_s0.20,New_s0.20,Num_s0.25,New_s0.25
6.40000000e-01,3.06013390e+00,3.17972814e+00,3.28382750e+00,3.41345869e+00,3.38229495e+00,3.51733153e+00,3.44626088e+00,3.58018586e+00,3.48503000e+00,3.62379670e+00
6.60000000e-01,3.02340283e+00,3.13625898e+00,3.24541512e+00,3.36836282e+00,3.34300753e+00,3.47139583e+00,3.40635302e+00,3.53368219e+00,3.44472446e+00,3.57686435e+00
6.80000000e-01,2.98762190e+00,3.09379281e+00,3.20797005e+00,3.32426319e+00,3.30469892e+00,3.42645932e+00,3.36743317e+00,3.48818220e+00,3.40541327e+00,3.53094031e+00
7.00000000e-01,2.95273779e+00,3.05228933e+00,3.17143878e+00,3.28112115e+00,3.26731541e+00,3.38248372e+00,3.32944746e+00,3.44364769e+00,3.36704245e+00,3.48598636e+00
7.20000000e-01,2.91870168e+00,3.01171082e+00,3.13577228e+00,3.23890044e+00,3.23080783e+00,3.33943311e+00,3.29234654e+00,3.40004282e+00,3.32956252e+00,3.44196662e+00
7.40000000e-01,2.88546878e+00,2.97202186e+00,3.10092554e+00,3.19756701e+00,3.19513097e+00,3.29727373e+00,3.25608507e+00,3.35733387e+00,3.29292804e+00,3.39884735e+00
7.60000000e-01,2.85299786e+00,2.93318918e+00,3.06685713e+00,3.15708881e+00,3.16024324e+00,3.25597380e+00,3.22062128e+00,3.31548910e+00,3.25709712e+00,3.35659677e+00
7.80000000e-01,2.82125092e+00,2.89518147e+00,3.03352884e+00,3.11743563e+00,3.12610624e+00,3.21550334e+00,3.18591663e+00,3.27447857e+00,3.22203109e+00,3.31518491e+00
8.00000000e-01,2.79019281e+00,2.85796919e+00,3.00090531e+00,3.07857894e+00,3.09268447e+00,3.17583403e+00,3.15193547e+00,3.23427399e+00,3.18769420e+00,3.27458343e+00
8.20000000e-01,2.75979103e+00,2.82152445e+00,2.96895383e+00,3.04049178e+00,3.05994503e+00,3.13693910e+00,3.11864472e+00,3.19484859e+00,3.15405326e+00,3.23476553e+00
8.40000000e-01,2.73001538e+00,2.78582090e+00,2.93764400e+00,3.00314863e+00,3.02785735e+00,3.09879319e+00,3.08601370e+00,3.15617704e+00,3.12107748e+00,3.19570583e+00
