D,NN_z0.5,NN_z1.0,NN_z2.0,NN_z4.0,NN_z7.0,NN_z11.0,PBE_z0.5,PBE_z1.0,PBE_z2.0,PBE_z4.0,PBE_z7.0,PBE_z11.0
5.40000000e-01,1.54673085e-01,7.45417953e-01,3.14995670e+00,1.00929184e+01,2.32081680e+01,2.60072384e+01,1.17814407e-01,7.36337113e-01,2.93081987e+00,1.08129869e+01,2.24960588e+01,2.73872112e+01
5.60000000e-01,1.53897271e-01,7.40834475e-01,3.09562373e+00,9.83070183e+00,2.23520317e+01,2.48490810e+01,1.16313951e-01,7.26444883e-01,2.88396637e+00,1.05380657e+01,2.16422727e+01,2.62201263e+01
5.80000000e-01,1.53077394e-01,7.35780954e-01,3.04124212e+00,9.57862091e+00,2.15425682e+01,2.37758617e+01,1.14821950e-01,7.16618892e-01,2.83763264e+00,1.02717194e+01,2.08380099e+01,2.51312915e+01
6.00000000e-01,1.52211010e-01,7.30281234e-01,2.98692989e+00,9.33617401e+00,2.07761097e+01,2.27790527e+01,1.13338638e-01,7.06860770e-01,2.79182530e+00,1.00136533e+01,2.00791915e+01,2.41132130e+01
6.20000000e-01,1.51295468e-01,7.24358857e-01,2.93280864e+00,9.10281754e+00,2.00492668e+01,2.18509197e+01,1.11864240e-01,6.97172082e-01,2.74655021e+00,9.76357839e+00,1.93621719e+01,2.31593243e+01
6.40000000e-01,1.50327176e-01,7.18054235e-01,2.87898254e+00,8.87809753e+00,1.93590374e+01,2.09849777e+01,1.10398978e-01,6.87554330e-01,2.70181243e+00,9.52121228e+00,1.86836832e+01,2.22638468e+01
6.60000000e-01,1.49307698e-01,7.11383164e-01,2.82553983e+00,8.66157246e+00,1.87028580e+01,2.01753979e+01,1.08943063e-01,6.78008948e-01,2.65761633e+00,9.28628004e+00,1.80407882e+01,2.14216753e+01
6.80000000e-01,1.48237139e-01,7.04385817e-01,2.77256393e+00,8.45282459e+00,1.80781860e+01,1.94169006e+01,1.07496703e-01,6.68537308e-01,2.61396555e+00,9.05851467e+00,1.74308391e+01,2.06282825e+01
7.00000000e-01,1.47113547e-01,6.97085977e-01,2.72012448e+00,8.25143909e+00,1.74829617e+01,1.87051239e+01,1.06060098e-01,6.59140715e-01,2.57086307e+00,8.83765746e+00,1.68514434e+01,1.98796396e+01
7.20000000e-01,1.45941556e-01,6.89515829e-01,2.66828704e+00,8.05704689e+00,1.69151154e+01,1.80358238e+01,1.04633440e-01,6.49820409e-01,2.52831122e+00,8.62345817e+00,1.63004340e+01,1.91721493e+01
7.40000000e-01,1.44721121e-01,6.81700766e-01,2.61710262e+00,7.86928701e+00,1.63729134e+01,1.74054775e+01,1.03216915e-01,6.40577565e-01,2.48631170e+00,8.41567519e+00,1.57758429e+01,1.85025900e+01
7.60000000e-01,1.43454805e-01,6.73670113e-01,2.56661606e+00,7.68783140e+00,1.58546124e+01,1.68109150e+01,1.01810703e-01,6.31413296e-01,2.44486566e+00,8.21407553e+00,1.52758795e+01,1.78680673e+01
7.80000000e-01,1.42146006e-01,6.65448606e-01,2.51686239e+00,7.51235771e+00,1.53588533e+01,1.62491608e+01,1.00414975e-01,6.22328649e-01,2.40397366e+00,8.01843478e+00,1.47989109e+01,1.72659741e+01
8.00000000e-01,1.40794694e-01,6.57059252e-01,2.46787381e+00,7.34258366e+00,1.48841610e+01,1.57176275e+01,9.90298966e-02,6.13324607e-01,2.36363575e+00,7.82853696e+00,1.43434446e+01,1.66939556e+01
8.20000000e-01,1.39405474e-01,6.48532927e-01,2.41968107e+00,7.17822647e+00,1.44292974e+01,1.52139912e+01,9.76556254e-02,6.04402092e-01,2.32385150e+00,7.64417443e+00,1.39081145e+01,1.61498793e+01
8.40000000e-01,1.37980804e-01,6.39883995e-01,2.37229323e+00,7.01900148e+00,1.39931803e+01,1.47361765e+01,9.62923124e-02,5.95561964e-01,2.28461997e+00,7.46514764e+00,1.34916673e+01,1.56318096e+01
8.60000000e-01,1.36523619e-01,6.31136775e-01,2.32573843e+00,6.86469603e+00,1.35746698e+01,1.42821589e+01,9.49401014e-02,5.86805021e-01,2.24593981e+00,7.29126495e+00,1.30929512e+01,1.51379856e+01
8.80000000e-01,1.35036439e-01,6.22313738e-01,2.28002143e+00,6.71505451e+00,1.31728163e+01,1.38503094e+01,9.35991295e-02,5.78132000e-01,2.20780925e+00,7.12234240e+00,1.27109059e+01,1.46668017e+01
9.00000000e-01,1.33522928e-01,6.13428652e-01,2.23514652e+00,6.56985855e+00,1.27867289e+01,1.34389944e+01,9.22695264e-02,5.69543581e-01,2.17022614e+00,6.95820341e+00,1.23445538e+01,1.42167909e+01
9.20000000e-01,1.31984919e-01,6.04502439e-01,2.19112611e+00,6.42889929e+00,1.24155388e+01,1.30467920e+01,9.09514149e-02,5.61040382e-01,2.13318794e+00,6.79867861e+00,1.19929920e+01,1.37866101e+01
9.40000000e-01,1.30425900e-01,5.95549822e-01,2.14795780e+00,6.29198503e+00,1.20584583e+01,1.26723890e+01,8.96449111e-02,5.52622968e-01,2.09669181e+00,6.64360550e+00,1.16553854e+01,1.33750273e+01
9.60000000e-01,1.28849223e-01,5.86585402e-01,2.10563111e+00,6.15893745e+00,1.17148323e+01,1.23146324e+01,8.83501239e-02,5.44291844e-01,2.06073458e+00,6.49282825e+00,1.13309603e+01,1.29809104e+01
9.80000000e-01,1.27256125e-01,5.77621222e-01,2.06415105e+00,6.02959108e+00,1.13839273e+01,1.19723969e+01,8.70671556e-02,5.36047461e-01,2.02531278e+00,6.34619739e+00,1.10189991e+01,1.26032174e+01
1.00000000e+00,1.25649765e-01,5.68672299e-01,2.02351069e+00,5.90376949e+00,1.10651474e+01,1.16446581e+01,8.57961015e-02,5.27890218e-01,1.99042268e+00,6.20356960e+00,1.07188349e+01,1.22409873e+01
1.02000000e+00,1.24033161e-01,5.59749424e-01,1.98370409e+00,5.78133440e+00,1.07578821e+01,1.13305674e+01,8.45370504e-02,5.19820458e-01,1.95606032e+00,6.06480740e+00,1.04298478e+01,1.18933325e+01
1.04000000e+00,1.22408211e-01,5.50864756e-01,1.94472134e+00,5.66212416e+00,1.04615936e+01,1.10291843e+01,8.32900842e-02,5.11838475e-01,1.92222148e+00,5.92977898e+00,1.01514601e+01,1.15594320e+01
1.06000000e+00,1.20776728e-01,5.42023838e-01,1.90654325e+00,5.54602337e+00,1.01758099e+01,1.07398205e+01,8.20552784e-02,5.03944512e-01,1.88890175e+00,5.79835789e+00,9.88313321e+00,1.12385253e+01
1.08000000e+00,1.19141079e-01,5.33240378e-01,1.86917317e+00,5.43287992e+00,9.89998913e+00,1.04616890e+01,8.08327019e-02,4.96138763e-01,1.85609653e+00,5.67042283e+00,9.62436432e+00,1.09299067e+01
1.10000000e+00,1.17504157e-01,5.24517894e-01,1.83258879e+00,5.32260084e+00,9.63371563e+00,1.01941862e+01,7.96224173e-02,4.88421374e-01,1.82380106e+00,5.54585746e+00,9.37468340e+00,1.06329208e+01
1.12000000e+00,1.15866698e-01,5.15863657e-01,1.79678631e+00,5.21505213e+00,9.37656307e+00,9.93664742e+00,7.84244807e-02,4.80792446e-01,1.79201039e+00,5.42455013e+00,9.13365063e+00,1.03469577e+01
1.14000000e+00,1.14231139e-01,5.07287145e-01,1.76174188e+00,5.11014938e+00,9.12811565e+00,9.68857861e+00,7.72389422e-02,4.73252034e-01,1.76071945e+00,5.30639369e+00,8.90085399e+00,1.00714493e+01
1.16000000e+00,1.12598434e-01,4.98791665e-01,1.72744870e+00,5.00776577e+00,8.88802242e+00,9.44939327e+00,7.60658454e-02,4.65800150e-01,1.72992306e+00,5.19128531e+00,8.67590712e+00,9.80586592e+00
1.18000000e+00,1.10970818e-01,4.90383387e-01,1.69389486e+00,4.90782404e+00,8.65589428e+00,9.21861649e+00,7.49052284e-02,4.58436764e-01,1.69961591e+00,5.07912626e+00,8.45844735e+00,9.54971291e+00
1.20000000e+00,1.09349996e-01,4.82066959e-01,1.66105747e+00,4.81022501e+00,8.43143749e+00,8.99579334e+00,7.37571229e-02,4.51161805e-01,1.66979258e+00,4.96982174e+00,8.24813390e+00,9.30252784e+00
1.22000000e+00,1.07736766e-01,4.73843724e-01,1.62892485e+00,4.71488857e+00,8.21431351e+00,8.78054523e+00,7.26215552e-02,4.43975161e-01,1.64044758e+00,4.86328071e+00,8.04464625e+00,9.06387795e+00
1.24000000e+00,1.06131576e-01,4.65718448e-01,1.59748650e+00,4.62173891e+00,8.00420666e+00,8.57244968e+00,7.14985455e-02,4.36876685e-01,1.61157535e+00,4.75941570e+00,7.84768268e+00,8.83335779e+00
1.26000000e+00,1.04537301e-01,4.57696050e-01,1.56672394e+00,4.53068924e+00,7.80087757e+00,8.37112713e+00,7.03881088e-02,4.29866191e-01,1.58317026e+00,4.65814266e+00,7.65695889e+00,8.61058710e+00
1.28000000e+00,1.02953576e-01,4.49775219e-01,1.53662431e+00,4.44168520e+00,7.60401392e+00,8.17628193e+00,6.92902545e-02,4.22943458e-01,1.55522661e+00,4.55938082e+00,7.47220677e+00,8.39520887e+00
1.30000000e+00,1.01381578e-01,4.41960037e-01,1.50717640e+00,4.35464096e+00,7.41337776e+00,7.98757935e+00,6.82049866e-02,4.16108232e-01,1.52773869e+00,4.46305252e+00,7.29317325e+00,8.18688763e+00
1.32000000e+00,9.98226255e-02,4.34253961e-01,1.47835732e+00,4.26951075e+00,7.22871637e+00,7.80469847e+00,6.71323040e-02,4.09360224e-01,1.50070072e+00,4.36908309e+00,7.11961928e+00,7.98530779e+00
1.34000000e+00,9.82769951e-02,4.26655769e-01,1.45015502e+00,4.18621588e+00,7.04981422e+00,7.62739372e+00,6.60722005e-02,4.02699116e-01,1.47410692e+00,4.27740071e+00,6.95131887e+00,7.79017222e+00
1.36000000e+00,9.67459232e-02,4.19164330e-01,1.42256320e+00,4.10470724e+00,6.87644148e+00,7.45542049e+00,6.50246650e-02,3.96124559e-01,1.44795147e+00,4.18793627e+00,6.78805820e+00,7.60120094e+00
1.38000000e+00,9.52297002e-02,4.11785722e-01,1.39555418e+00,4.02493334e+00,6.70837212e+00,7.28848696e+00,6.39896815e-02,3.89636173e-01,1.42222856e+00,4.10062326e+00,6.62963480e+00,7.41812984e+00
1.40000000e+00,9.37288627e-02,4.04517978e-01,1.36912727e+00,3.94683170e+00,6.54542160e+00,7.12642527e+00,6.29672294e-02,3.83233555e-01,1.39693236e+00,4.01539769e+00,6.47585683e+00,7.24070963e+00
1.42000000e+00,9.22441781e-02,3.97360444e-01,1.34326029e+00,3.87037015e+00,6.38740396e+00,6.96898079e+00,6.19572835e-02,3.76916270e-01,1.37205705e+00,3.93219790e+00,6.32654238e+00,7.06870477e+00
1.44000000e+00,9.07754675e-02,3.90314072e-01,1.31794310e+00,3.79548955e+00,6.23413706e+00,6.81596661e+00,6.09598141e-02,3.70683863e-01,1.34759680e+00,3.85096454e+00,6.18151883e+00,6.90189256e+00
1.46000000e+00,8.93234536e-02,3.83379519e-01,1.29316103e+00,3.72215104e+00,6.08541870e+00,6.66720533e+00,5.99747874e-02,3.64535852e-01,1.32354582e+00,3.77164040e+00,6.04062229e+00,6.74006226e+00
1.48000000e+00,8.78884941e-02,3.76554936e-01,1.26890719e+00,3.65030599e+00,5.94111729e+00,6.52249956e+00,5.90021653e-02,3.58471731e-01,1.29989832e+00,3.69417039e+00,5.90369702e+00,6.58301433e+00
1.50000000e+00,8.64708871e-02,3.69842261e-01,1.24516022e+00,3.57992053e+00,5.80106783e+00,6.38170528e+00,5.80419058e-02,3.52490977e-01,1.27664854e+00,3.61850136e+00,5.77059493e+00,6.43055962e+00
1.52000000e+00,8.50709900e-02,3.63236845e-01,1.22191143e+00,3.51095104e+00,5.66509771e+00,6.24464560e+00,5.70939629e-02,3.46593041e-01,1.25379073e+00,3.54458211e+00,5.64117515e+00,6.28251880e+00
1.54000000e+00,8.36883411e-02,3.56741399e-01,1.19914973e+00,3.44336772e+00,5.53307724e+00,6.11118603e+00,5.61582869e-02,3.40777358e-01,1.23131920e+00,3.47236324e+00,5.51530356e+00,6.13872166e+00
1.56000000e+00,8.23238567e-02,3.50353897e-01,1.17686033e+00,3.37712431e+00,5.40486002e+00,5.98118258e+00,5.52348244e-02,3.35043343e-01,1.20922827e+00,3.40179709e+00,5.39285243e+00,5.99900654e+00
1.58000000e+00,8.09774399e-02,3.44073951e-01,1.15503538e+00,3.31220222e+00,5.28032637e+00,5.85451698e+00,5.43235187e-02,3.29390394e-01,1.18751230e+00,3.33283767e+00,5.27369997e+00,5.86321984e+00
1.60000000e+00,7.96490833e-02,3.37899625e-01,1.13366222e+00,3.24855518e+00,5.15932083e+00,5.73105907e+00,5.34243095e-02,3.23817894e-01,1.16616570e+00,3.26544061e+00,5.15773008e+00,5.73121550e+00
1.62000000e+00,7.83387199e-02,3.31831157e-01,1.11272919e+00,3.18616414e+00,5.04174042e+00,5.61067057e+00,5.25371334e-02,3.18325208e-01,1.14518292e+00,3.19956306e+00,5.04483195e+00,5.60285452e+00
1.64000000e+00,7.70465136e-02,3.25865477e-01,1.09222484e+00,3.12499475e+00,4.92746210e+00,5.49326849e+00,5.16619240e-02,3.12911688e-01,1.12455845e+00,3.13516364e+00,4.93489979e+00,5.47800457e+00
1.66000000e+00,7.57720023e-02,3.20002705e-01,1.07214248e+00,3.06502342e+00,4.81637573e+00,5.37873840e+00,5.07986117e-02,3.07576672e-01,1.10428684e+00,3.07220237e+00,4.82783256e+00,5.35653959e+00
1.68000000e+00,7.45155141e-02,3.14241379e-01,1.05246758e+00,3.00621557e+00,4.70836592e+00,5.26697540e+00,4.99471243e-02,3.02319486e-01,1.08436267e+00,3.01064064e+00,4.72353368e+00,5.23833940e+00
1.70000000e+00,7.32773170e-02,3.08579206e-01,1.03319371e+00,2.94854021e+00,4.60332537e+00,5.15789223e+00,4.91073866e-02,2.97139444e-01,1.06478059e+00,2.95044111e+00,4.62191080e+00,5.12328940e+00
1.72000000e+00,7.20569268e-02,3.03016603e-01,1.01430738e+00,2.89198256e+00,4.50116014e+00,5.05139256e+00,4.82793210e-02,2.92035849e-01,1.04553529e+00,2.89156772e+00,4.52287557e+00,5.01128018e+00
1.74000000e+00,7.08541870e-02,2.97551215e-01,9.95802641e-01,2.83651853e+00,4.40178299e+00,4.94738913e+00,4.74628474e-02,2.87007994e-01,1.02662153e+00,2.83398557e+00,4.42634341e+00,4.90220733e+00
1.76000000e+00,6.96691871e-02,2.92181164e-01,9.77668881e-01,2.78212786e+00,4.30507994e+00,4.84580469e+00,4.66578832e-02,2.82055162e-01,1.00803411e+00,2.77766091e+00,4.33223335e+00,4.79597105e+00
1.78000000e+00,6.85019419e-02,2.86906570e-01,9.59898114e-01,2.72877789e+00,4.21096706e+00,4.74656820e+00,4.58643438e-02,2.77176629e-01,9.89767900e-01,2.72256111e+00,4.24046780e+00,4.69247598e+00
1.80000000e+00,6.73519000e-02,2.81724185e-01,9.42478240e-01,2.67645097e+00,4.11937380e+00,4.64960861e+00,4.50821423e-02,2.72371662e-01,9.71817815e-01,2.66865457e+00,4.15097237e+00,4.59163090e+00
1.82000000e+00,6.62187859e-02,2.76633739e-01,9.25405145e-01,2.62512493e+00,4.03020573e+00,4.55483770e+00,4.43111898e-02,2.67639521e-01,9.54178840e-01,2.61591071e+00,4.06367575e+00,4.49334856e+00
1.84000000e+00,6.51031584e-02,2.71632701e-01,9.08668756e-01,2.57478547e+00,3.94339013e+00,4.46221066e+00,4.35513955e-02,2.62979461e-01,9.36846013e-01,2.56429995e+00,3.97850952e+00,4.39754540e+00
1.86000000e+00,6.40043765e-02,2.66721308e-01,8.92261088e-01,2.52540255e+00,3.85883260e+00,4.37165117e+00,4.28026669e-02,2.58390730e-01,9.19814434e-01,2.51379361e+00,3.89540800e+00,4.30414143e+00
1.88000000e+00,6.29224107e-02,2.61896610e-01,8.76174986e-01,2.47697115e+00,3.77647805e+00,4.28309345e+00,4.20649098e-02,2.53872572e-01,9.03079265e-01,2.46436393e+00,3.81430814e+00,4.21305997e+00
1.90000000e+00,6.18569367e-02,2.57157713e-01,8.60402226e-01,2.42945552e+00,3.69625664e+00,4.19649076e+00,4.13380282e-02,2.49424225e-01,8.86635727e-01,2.41598401e+00,3.73514935e+00,4.12422753e+00
1.92000000e+00,6.08075969e-02,2.52502143e-01,8.44934285e-01,2.38285470e+00,3.61808848e+00,4.11178493e+00,4.06219250e-02,2.45044925e-01,8.70479103e-01,2.36862779e+00,3.65787343e+00,4.03757363e+00
1.94000000e+00,5.97744584e-02,2.47930080e-01,8.29768062e-01,2.33714151e+00,3.54190898e+00,4.02892208e+00,3.99165013e-02,2.40733904e-01,8.54604736e-01,2.32227000e+00,3.58242441e+00,3.95303063e+00
1.96000000e+00,5.87574579e-02,2.43438572e-01,8.14891517e-01,2.29229689e+00,3.46766639e+00,3.94783854e+00,3.92216573e-02,2.36490391e-01,8.39008034e-01,2.27688616e+00,3.50874848e+00,3.87053364e+00
1.98000000e+00,5.77557981e-02,2.39027798e-01,8.00301015e-01,2.24831200e+00,3.39528203e+00,3.86852336e+00,3.85372918e-02,2.32313614e-01,8.23684462e-01,2.23245251e+00,3.43679383e+00,3.79002030e+00
