D,p,source,u
2.20000000e-01,0.7985,PBE,2.66737203e+00
2.20000000e-01,1.0647,NN,2.94357944e+00
2.20000000e-01,1.0647,PBE,2.88520320e+00
2.20000000e-01,1.3308,NN,3.16044545e+00
2.20000000e-01,1.3308,PBE,3.21296739e+00
2.40000000e-01,0.2662,NN,1.54000056e+00
2.40000000e-01,0.2662,PBE,1.27980323e+00
2.40000000e-01,0.5324,NN,2.18855619e+00
2.40000000e-01,0.5324,PBE,2.30048464e+00
2.40000000e-01,0.7985,NN,2.57775187e+00
2.40000000e-01,0.7985,PBE,2.57992522e+00
2.40000000e-01,1.0647,NN,2.85638475e+00
2.40000000e-01,1.0647,PBE,2.79711458e+00
2.40000000e-01,1.3308,NN,3.07296371e+00
2.40000000e-01,1.3308,PBE,3.12395306e+00
2.60000000e-01,0.2662,NN,1.46590793e+00
2.60000000e-01,0.2662,PBE,1.21158624e+00
2.60000000e-01,0.5324,NN,2.10897350e+00
2.60000000e-01,0.5324,PBE,2.22113207e+00
2.60000000e-01,0.7985,NN,2.49758458e+00
2.60000000e-01,0.7985,PBE,2.49952268e+00
2.60000000e-01,1.0647,NN,2.77594066e+00
2.60000000e-01,1.0647,PBE,2.71604497e+00
2.60000000e-01,1.3308,NN,2.99217582e+00
2.60000000e-01,1.3308,PBE,3.04193602e+00
2.80000000e-01,0.2662,NN,1.39843798e+00
2.80000000e-01,0.2662,PBE,1.14982218e+00
2.80000000e-01,0.5324,NN,2.03555536e+00
2.80000000e-01,0.5324,PBE,2.14784024e+00
2.80000000e-01,0.7985,NN,2.42329931e+00
2.80000000e-01,0.7985,PBE,2.42512989e+00
2.80000000e-01,1.0647,NN,2.70125294e+00
2.80000000e-01,1.0647,PBE,2.64096020e+00
2.80000000e-01,1.3308,NN,2.91709304e+00
2.80000000e-01,1.3308,PBE,2.96588229e+00
3.00000000e-01,0.2662,NN,1.33668089e+00
3.00000000e-01,0.2662,PBE,1.09362613e+00
3.00000000e-01,0.5324,NN,1.96747506e+00
3.00000000e-01,0.5324,PBE,2.07978752e+00
3.00000000e-01,0.7985,NN,2.35410571e+00
3.00000000e-01,0.7985,PBE,2.35592657e+00
3.00000000e-01,1.0647,NN,2.63154554e+00
3.00000000e-01,1.0647,PBE,2.57104039e+00
3.00000000e-01,1.3308,NN,2.84693933e+00
3.00000000e-01,1.3308,PBE,2.89497222e+00
3.20000000e-01,0.2662,NN,1.27990139e+00
3.20000000e-01,0.2662,PBE,1.04227625e+00
3.20000000e-01,0.5324,NN,1.90406537e+00
3.20000000e-01,0.5324,PBE,2.01631104e+00
3.20000000e-01,0.7985,NN,2.28936386e+00
3.20000000e-01,0.7985,PBE,2.29125128e+00
3.20000000e-01,1.0647,NN,2.56618881e+00
3.20000000e-01,1.0647,PBE,2.50562454e+00
3.20000000e-01,1.3308,NN,2.78109503e+00
3.20000000e-01,1.3308,PBE,2.82854502e+00
3.40000000e-01,0.2662,NN,1.22749317e+00
3.40000000e-01,0.2662,PBE,9.95175370e-01
3.40000000e-01,0.5324,NN,1.84477782e+00
3.40000000e-01,0.5324,PBE,1.95686818e+00
3.40000000e-01,0.7985,NN,2.22855163e+00
3.40000000e-01,0.7985,PBE,2.23056286e+00
3.40000000e-01,1.0647,NN,2.50467229e+00
3.40000000e-01,1.0647,PBE,2.44417191e+00
3.40000000e-01,1.3308,NN,2.71904850e+00
3.40000000e-01,1.3308,PBE,2.76606019e+00
3.60000000e-01,0.2662,NN,1.17895007e+00
3.60000000e-01,0.2662,PBE,9.51823574e-01
3.60000000e-01,0.5324,NN,1.78916156e+00
3.60000000e-01,0.5324,PBE,1.90100894e+00
3.60000000e-01,0.7985,NN,2.17123652e+00
3.60000000e-01,0.7985,PBE,2.17341286e+00
3.60000000e-01,1.0647,NN,2.44657040e+00
3.60000000e-01,1.0647,PBE,2.38623452e+00
