D,NN_E_z1.93,Num_E_z1.93,NN_E_z3.87,Num_E_z3.87,NN_E_z5.80,Num_E_z5.80,NN_E_z7.74,Num_E_z7.74,NN_E_z9.67,Num_E_z9.67
6.40000000e-01,2.71475935e+00,2.70181243e+00,8.41348553e+00,8.76421240e+00,1.57582512e+01,1.57250420e+01,2.06275349e+01,2.00914891e+01,2.12762051e+01,2.20069010e+01
6.60000000e-01,2.66549587e+00,2.65761633e+00,8.21024036e+00,8.55574165e+00,1.52976685e+01,1.52303900e+01,1.98766270e+01,1.93728469e+01,2.04409294e+01,2.11797684e+01
6.80000000e-01,2.61657047e+00,2.61396555e+00,8.01410961e+00,8.35321431e+00,1.48564138e+01,1.47581161e+01,1.91652012e+01,1.86929608e+01,1.96570263e+01,2.04001588e+01
7.00000000e-01,2.56804514e+00,2.57086307e+00,7.82479048e+00,8.15644011e+00,1.44333162e+01,1.43068098e+01,1.84904022e+01,1.80488583e+01,1.89201565e+01,1.96641793e+01
7.20000000e-01,2.51998878e+00,2.52831122e+00,7.64192247e+00,7.96523318e+00,1.40271711e+01,1.38751739e+01,1.78496094e+01,1.74378629e+01,1.82264385e+01,1.89683509e+01
7.40000000e-01,2.47246194e+00,2.48631170e+00,7.46522856e+00,7.77941239e+00,1.36369276e+01,1.34620144e+01,1.72404251e+01,1.68575581e+01,1.75723400e+01,1.83095546e+01
7.60000000e-01,2.42551017e+00,2.44486566e+00,7.29437637e+00,7.59880156e+00,1.32616301e+01,1.30662302e+01,1.66607208e+01,1.63057566e+01,1.69548779e+01,1.76849863e+01
7.80000000e-01,2.37917399e+00,2.40397366e+00,7.12908268e+00,7.42322959e+00,1.29003820e+01,1.26868047e+01,1.61085949e+01,1.57804739e+01,1.63711472e+01,1.70921178e+01
8.00000000e-01,2.33349252e+00,2.36363575e+00,6.96911049e+00,7.25253059e+00,1.25524111e+01,1.23227978e+01,1.55821791e+01,1.52799053e+01,1.58185978e+01,1.65286639e+01
8.20000000e-01,2.28849244e+00,2.32385150e+00,6.81417608e+00,7.08654389e+00,1.22169056e+01,1.19733391e+01,1.50798950e+01,1.48024058e+01,1.52949553e+01,1.59925535e+01
8.40000000e-01,2.24419999e+00,2.28461997e+00,6.66403961e+00,6.92511405e+00,1.18932199e+01,1.16376216e+01,1.46002846e+01,1.43464732e+01,1.47981129e+01,1.54819057e+01
8.60000000e-01,2.20062470e+00,2.24593981e+00,6.51851416e+00,6.76809083e+00,1.15807114e+01,1.13148960e+01,1.41418524e+01,1.39107327e+01,1.43261881e+01,1.49950079e+01
8.80000000e-01,2.15779948e+00,2.20780925e+00,6.37733316e+00,6.61532913e+00,1.12788048e+01,1.10044661e+01,1.37034531e+01,1.34939237e+01,1.38774014e+01,1.45302976e+01
9.00000000e-01,2.11571836e+00,2.17022614e+00,6.24034977e+00,6.46668889e+00,1.09869442e+01,1.07056838e+01,1.32838249e+01,1.30948881e+01,1.34502583e+01,1.40863464e+01
9.20000000e-01,2.07439899e+00,2.13318794e+00,6.10734034e+00,6.32203498e+00,1.07046299e+01,1.04179453e+01,1.28819532e+01,1.27125604e+01,1.30432138e+01,1.36618457e+01
9.40000000e-01,2.03384376e+00,2.09669181e+00,5.97814608e+00,6.18123713e+00,1.04314175e+01,1.01406872e+01,1.24968386e+01,1.23459583e+01,1.26549740e+01,1.32555947e+01
9.60000000e-01,1.99405229e+00,2.06073458e+00,5.85256624e+00,6.04416975e+00,1.01668663e+01,9.87338362e+00,1.21275034e+01,1.19941751e+01,1.22843456e+01,1.28664890e+01
9.80000000e-01,1.95502937e+00,2.02531278e+00,5.73047161e+00,5.91071185e+00,9.91056442e+00,9.61554278e+00,1.17731218e+01,1.16563720e+01,1.19301701e+01,1.24935118e+01
1.00000000e+00,1.91676319e+00,1.99042268e+00,5.61170578e+00,5.78074684e+00,9.66213799e+00,9.36670445e+00,1.14328918e+01,1.13317726e+01,1.15914469e+01,1.21357247e+01
1.02000000e+00,1.87925744e+00,1.95606032e+00,5.49612188e+00,5.65416246e+00,9.42127228e+00,9.12643749e+00,1.11060610e+01,1.10196564e+01,1.12671938e+01,1.17922610e+01
1.04000000e+00,1.84250689e+00,1.92222148e+00,5.38359547e+00,5.53085056e+00,9.18760490e+00,8.89433757e+00,1.07919569e+01,1.07193546e+01,1.09565496e+01,1.14623182e+01
1.06000000e+00,1.80650008e+00,1.88890175e+00,5.27398491e+00,5.41070704e+00,8.96087170e+00,8.67002515e+00,1.04899015e+01,1.04302450e+01,1.06587172e+01,1.11451529e+01
1.08000000e+00,1.77122557e+00,1.85609653e+00,5.16717768e+00,5.29363162e+00,8.74075508e+00,8.45314364e+00,1.01992922e+01,1.01517484e+01,1.03729172e+01,1.08400747e+01
1.10000000e+00,1.73668194e+00,1.82380106e+00,5.06306648e+00,5.17952778e+00,8.52700996e+00,8.24335765e+00,9.91954231e+00,9.88332466e+00,1.00984650e+01,1.05464423e+01
1.12000000e+00,1.70286131e+00,1.79201039e+00,4.96154547e+00,5.06830256e+00,8.31938744e+00,8.04035153e+00,9.65017986e+00,9.62446960e+00,9.83470917e+00,1.02636588e+01
1.14000000e+00,1.66974044e+00,1.76071945e+00,4.86250734e+00,4.95986646e+00,8.11762619e+00,7.84382785e+00,9.39066601e+00,9.37471204e+00,9.58106518e+00,9.99116791e+00
1.16000000e+00,1.63731647e+00,1.72992306e+00,4.76586866e+00,4.85413329e+00,7.92154741e+00,7.65350619e+00,9.14050293e+00,9.13361113e+00,9.33697891e+00,9.72845072e+00
1.18000000e+00,1.60557377e+00,1.69961591e+00,4.67152262e+00,4.75102005e+00,7.73090792e+00,7.46912190e+00,8.89928913e+00,8.90075394e+00,9.10190678e+00,9.47502247e+00
1.20000000e+00,1.57450151e+00,1.66979258e+00,4.57940483e+00,4.65044680e+00,7.54554462e+00,7.29042505e+00,8.66662407e+00,8.67575331e+00,8.87537575e+00,9.23042989e+00
1.22000000e+00,1.54409289e+00,1.64044758e+00,4.48941326e+00,4.55233653e+00,7.36525297e+00,7.11717938e+00,8.44205475e+00,8.45824585e+00,8.65695095e+00,8.99424861e+00
1.24000000e+00,1.51432252e+00,1.61157535e+00,4.40149546e+00,4.45661507e+00,7.18984318e+00,6.94916142e+00,8.22526836e+00,8.24789015e+00,8.44617367e+00,8.76608092e+00
1.26000000e+00,1.48519099e+00,1.58317026e+00,4.31555986e+00,4.36321094e+00,7.01919270e+00,6.78615962e+00,8.01589489e+00,8.04436513e+00,8.24267292e+00,8.54555371e+00
1.28000000e+00,1.45667446e+00,1.55522661e+00,4.23155260e+00,4.27205526e+00,6.85310555e+00,6.62797358e+00,7.81358671e+00,7.84736856e+00,8.04609394e+00,8.33231659e+00
1.30000000e+00,1.42876506e+00,1.52773869e+00,4.14940453e+00,4.18308166e+00,6.69144917e+00,6.47441332e+00,7.61806250e+00,7.65661569e+00,7.85608721e+00,8.12604017e+00
1.32000000e+00,1.40145290e+00,1.50070072e+00,4.06905460e+00,4.09622615e+00,6.53408003e+00,6.32529860e+00,7.42900753e+00,7.47183802e+00,7.67231941e+00,7.92641454e+00
1.34000000e+00,1.37471819e+00,1.47410692e+00,3.99043822e+00,4.01142702e+00,6.38085604e+00,6.18045833e+00,7.24617147e+00,7.29278213e+00,7.49448252e+00,7.73314783e+00
1.36000000e+00,1.34855115e+00,1.44795147e+00,3.91351461e+00,3.92862480e+00,6.23166466e+00,6.03973000e+00,7.06924105e+00,7.11920866e+00,7.32231760e+00,7.54596491e+00
1.38000000e+00,1.32293928e+00,1.42222856e+00,3.83823061e+00,3.84776209e+00,6.08636475e+00,5.90295912e+00,6.89800835e+00,6.95089130e+00,7.15554523e+00,7.36460623e+00
1.40000000e+00,1.29787016e+00,1.39693236e+00,3.76452470e+00,3.76878354e+00,5.94484138e+00,5.76999875e+00,6.73221636e+00,6.78761600e+00,6.99389172e+00,7.18882669e+00
1.42000000e+00,1.27333188e+00,1.37205705e+00,3.69236112e+00,3.69163574e+00,5.80698824e+00,5.64070905e+00,6.57165051e+00,6.62918005e+00,6.83717728e+00,7.01839470e+00
1.44000000e+00,1.24931300e+00,1.34759680e+00,3.62167788e+00,3.61626714e+00,5.67269564e+00,5.51495687e+00,6.41608906e+00,6.47539141e+00,6.68513441e+00,6.85309121e+00
1.46000000e+00,1.22579801e+00,1.32354582e+00,3.55246091e+00,3.54262797e+00,5.54186201e+00,5.39261530e+00,6.26531792e+00,6.32606798e+00,6.53755522e+00,6.69270891e+00
1.48000000e+00,1.20277548e+00,1.29989832e+00,3.48464894e+00,3.47067020e+00,5.41437864e+00,5.27356338e+00,6.11916351e+00,6.18103698e+00,6.39427853e+00,6.53705143e+00
1.50000000e+00,1.18023908e+00,1.27664854e+00,3.41821551e+00,3.40034744e+00,5.29015493e+00,5.15768570e+00,5.97743607e+00,6.04013436e+00,6.25509405e+00,6.38593264e+00
1.52000000e+00,1.15816736e+00,1.25379073e+00,3.35310960e+00,3.33161485e+00,5.16910934e+00,5.04487212e+00,5.83995438e+00,5.90320424e+00,6.11983776e+00,6.23917598e+00
1.54000000e+00,1.13656032e+00,1.23131920e+00,3.28930950e+00,3.26442916e+00,5.05112743e+00,4.93501746e+00,5.70654917e+00,5.77009842e+00,5.98832798e+00,6.09661386e+00
1.56000000e+00,1.11540270e+00,1.20922827e+00,3.22676826e+00,3.19874851e+00,4.93614912e+00,4.82802122e+00,5.57707214e+00,5.64067592e+00,5.86043882e+00,5.95808708e+00
1.58000000e+00,1.09468222e+00,1.18751230e+00,3.16546774e+00,3.13453248e+00,4.82407093e+00,4.72378732e+00,5.45136929e+00,5.51480252e+00,5.73600483e+00,5.82344434e+00
1.60000000e+00,1.07438850e+00,1.16616570e+00,3.10537386e+00,3.07174195e+00,4.71482754e+00,4.62222388e+00,5.32927179e+00,5.39235037e+00,5.61488867e+00,5.69254173e+00
1.62000000e+00,1.05451083e+00,1.14518292e+00,3.04645252e+00,3.01033913e+00,4.60835075e+00,4.52324297e+00,5.21068478e+00,5.27319764e+00,5.49696827e+00,5.56524230e+00
1.64000000e+00,1.03504252e+00,1.12455845e+00,2.98867941e+00,2.95028744e+00,4.50453758e+00,4.42676042e+00,5.09544849e+00,5.15722813e+00,5.38210249e+00,5.44141562e+00
1.66000000e+00,1.01597118e+00,1.10428684e+00,2.93202710e+00,2.89155152e+00,4.40332794e+00,4.33269559e+00,4.98343039e+00,5.04433097e+00,5.27020884e+00,5.32093744e+00
1.68000000e+00,9.97288346e-01,1.08436267e+00,2.87646842e+00,2.83409713e+00,4.30466557e+00,4.24097124e+00,4.87453985e+00,4.93440032e+00,5.16112471e+00,5.20368926e+00
1.70000000e+00,9.78985369e-01,1.06478059e+00,2.82197762e+00,2.77789115e+00,4.20846415e+00,4.15151329e+00,4.76864195e+00,4.82733506e+00,5.05479479e+00,5.08955806e+00
1.72000000e+00,9.61050391e-01,1.04553529e+00,2.76853395e+00,2.72290150e+00,4.11467361e+00,4.06425069e+00,4.66563654e+00,4.72303858e+00,4.95107317e+00,4.97843598e+00
1.74000000e+00,9.43477809e-01,1.02662153e+00,2.71611285e+00,2.66909713e+00,4.02321482e+00,3.97911530e+00,4.56540489e+00,4.62141847e+00,4.84990311e+00,4.87021999e+00
1.76000000e+00,9.26256239e-01,1.00803411e+00,2.66469407e+00,2.61644797e+00,3.93403411e+00,3.89604166e+00,4.46786165e+00,4.52238635e+00,4.75119257e+00,4.76481166e+00
1.78000000e+00,9.09378290e-01,9.89767900e-01,2.61424899e+00,2.56492488e+00,3.84708047e+00,3.81496694e+00,4.37290239e+00,4.42585761e+00,4.65482140e+00,4.66211688e+00
1.80000000e+00,8.92837107e-01,9.71817815e-01,2.56476688e+00,2.51449965e+00,3.76227808e+00,3.73583077e+00,4.28044319e+00,4.33175123e+00,4.56073809e+00,4.56204564e+00
1.82000000e+00,8.76624763e-01,9.54178840e-01,2.51622272e+00,2.46514490e+00,3.67956877e+00,3.65857512e+00,4.19038010e+00,4.23998958e+00,4.46887112e+00,4.46451182e+00
1.84000000e+00,8.60730886e-01,9.36846013e-01,2.46859670e+00,2.41683414e+00,3.59891081e+00,3.58314421e+00,4.10265064e+00,4.15049827e+00,4.37912655e+00,4.36943294e+00
1.86000000e+00,8.45149159e-01,9.19814434e-01,2.42187023e+00,2.36954166e+00,3.52024770e+00,3.50948437e+00,4.01717758e+00,4.06320595e+00,4.29145241e+00,4.27673000e+00
1.88000000e+00,8.29874754e-01,9.03079265e-01,2.37602615e+00,2.32324252e+00,3.44352460e+00,3.43754397e+00,3.93385863e+00,3.97804417e+00,4.20576000e+00,4.18632732e+00
1.90000000e+00,8.14897001e-01,8.86635727e-01,2.33104992e+00,2.27791255e+00,3.36869431e+00,3.36727329e+00,3.85263944e+00,3.89494724e+00,4.12198544e+00,4.09815232e+00
1.92000000e+00,8.00211549e-01,8.70479103e-01,2.28691030e+00,2.23352829e+00,3.29569316e+00,3.29862448e+00,3.77344584e+00,3.81385208e+00,4.04010582e+00,4.01213537e+00
1.94000000e+00,7.85807967e-01,8.54604736e-01,2.24361372e+00,2.19006699e+00,3.22449183e+00,3.23155143e+00,3.69621181e+00,3.73469810e+00,3.96002650e+00,3.92820968e+00
1.96000000e+00,7.71684945e-01,8.39008034e-01,2.20112753e+00,2.14750656e+00,3.15503240e+00,3.16600971e+00,3.62086201e+00,3.65742707e+00,3.88170457e+00,3.84631111e+00
1.98000000e+00,7.57832587e-01,8.23684462e-01,2.15943789e+00,2.10582555e+00,3.08727336e+00,3.10195650e+00,3.54734302e+00,3.58198300e+00,3.80509472e+00,3.76637806e+00
2.00000000e+00,7.44243681e-01,8.08629549e-01,2.11853814e+00,2.06500316e+00,3.02117348e+00,3.03935050e+00,3.47560239e+00,3.50831207e+00,3.73013687e+00,3.68835137e+00
2.02000000e+00,7.30915904e-01,7.93838886e-01,2.07840848e+00,2.02501916e+00,2.95667601e+00,2.97815187e+00,3.40557408e+00,3.43636248e+00,3.65678000e+00,3.61217414e+00
2.04000000e+00,7.17840612e-01,7.79308123e-01,2.03902650e+00,1.98585392e+00,2.89375043e+00,2.91832217e+00,3.33720016e+00,3.36608438e+00,3.58498955e+00,3.53779167e+00
2.06000000e+00,7.05013514e-01,7.65032973e-01,2.00038648e+00,1.94748837e+00,2.83234620e+00,2.85982429e+00,3.27043390e+00,3.29742975e+00,3.51471329e+00,3.46515135e+00
2.08000000e+00,6.92425668e-01,7.51009209e-01,1.96247602e+00,1.90990398e+00,2.77244377e+00,2.80262243e+00,3.20522666e+00,3.23035238e+00,3.44590855e+00,3.39420254e+00
2.10000000e+00,6.80075705e-01,7.37232664e-01,1.92527938e+00,1.87308273e+00,2.71398449e+00,2.74668196e+00,3.14152908e+00,3.16480772e+00,3.37853694e+00,3.32489649e+00
2.12000000e+00,6.67956769e-01,7.23699233e-01,1.88878298e+00,1.83700711e+00,2.65693402e+00,2.69196947e+00,3.07928944e+00,3.10075283e+00,3.31256914e+00,3.25718627e+00
2.14000000e+00,6.56063735e-01,7.10404867e-01,1.85297287e+00,1.80166010e+00,2.60125661e+00,2.63845265e+00,3.01846528e+00,3.03814630e+00,3.24795389e+00,3.19102665e+00
2.16000000e+00,6.44391358e-01,6.97345581e-01,1.81783533e+00,1.76702516e+00,2.54692435e+00,2.58610026e+00,2.95901799e+00,2.97694822e+00,3.18465734e+00,3.12637403e+00
2.18000000e+00,6.32936120e-01,6.84517444e-01,1.78336215e+00,1.73308619e+00,2.49388981e+00,2.53488211e+00,2.90090704e+00,2.91712006e+00,3.12265897e+00,3.06318642e+00
2.20000000e+00,6.21691108e-01,6.71916588e-01,1.74953926e+00,1.69982753e+00,2.44212317e+00,2.48476898e+00,2.84408498e+00,2.85862462e+00,3.06191421e+00,3.00142328e+00
2.22000000e+00,6.10653400e-01,6.59539201e-01,1.71635592e+00,1.66723394e+00,2.39159369e+00,2.43573262e+00,2.78852081e+00,2.80142602e+00,3.00239992e+00,2.94104552e+00
2.24000000e+00,5.99815369e-01,6.47381526e-01,1.68379700e+00,1.63529061e+00,2.34226131e+00,2.38774565e+00,2.73417473e+00,2.74548959e+00,2.94407272e+00,2.88201542e+00
