D,NN_z1.93,NN_z3.87,NN_z5.80,NN_z7.74,NN_z9.66,PBE_z1.93,PBE_z3.87,PBE_z5.80,PBE_z7.74,PBE_z9.66
6.40000000e-01,1.78087914e+00,3.17980933e+00,3.97000957e+00,4.31870794e+00,4.47427320e+00,1.83860397e+00,3.14008263e+00,3.96275172e+00,4.32898293e+00,4.46798403e+00
6.60000000e-01,1.77266228e+00,3.15289354e+00,3.92488861e+00,4.26365995e+00,4.41533041e+00,1.82969145e+00,3.11354427e+00,3.91779917e+00,4.27436123e+00,4.40942405e+00
6.80000000e-01,1.76428831e+00,3.12612176e+00,3.88067627e+00,4.21009684e+00,4.35809231e+00,1.82063956e+00,3.08715956e+00,3.87379046e+00,4.22118834e+00,4.35253081e+00
7.00000000e-01,1.75576782e+00,3.09950447e+00,3.83734107e+00,4.15794277e+00,4.30247068e+00,1.81145608e+00,3.06094044e+00,3.83069023e+00,4.16938988e+00,4.29721221e+00
7.20000000e-01,1.74710584e+00,3.07305241e+00,3.79485440e+00,4.10713291e+00,4.24837208e+00,1.80214862e+00,3.03489714e+00,3.78846473e+00,4.11889705e+00,4.24338361e+00
7.40000000e-01,1.73831069e+00,3.04677010e+00,3.75318956e+00,4.05760098e+00,4.19571352e+00,1.79272453e+00,3.00903836e+00,3.74708180e+00,4.06964604e+00,4.19096702e+00
7.60000000e-01,1.72938907e+00,3.02066660e+00,3.71232319e+00,4.00928688e+00,4.14442587e+00,1.78319101e+00,2.98337147e+00,3.70651080e+00,4.02157763e+00,4.13989040e+00
7.80000000e-01,1.72034729e+00,2.99474454e+00,3.67223096e+00,3.96213746e+00,4.09443665e+00,1.77355501e+00,2.95790260e+00,3.66672255e+00,3.97463670e+00,4.09008713e+00
8.00000000e-01,1.71119320e+00,2.96901512e+00,3.63288283e+00,3.91609859e+00,4.04568148e+00,1.76382329e+00,2.93263685e+00,3.62768925e+00,3.92877190e+00,4.04149543e+00
8.20000000e-01,1.70193219e+00,2.94347954e+00,3.59426022e+00,3.87112308e+00,3.99810052e+00,1.75400238e+00,2.90757834e+00,3.58938443e+00,3.88393532e+00,3.99405793e+00
8.40000000e-01,1.69257200e+00,2.91814137e+00,3.55633950e+00,3.82716465e+00,3.95163918e+00,1.74409862e+00,2.88273039e+00,3.55178288e+00,3.84008215e+00,3.94772123e+00
8.60000000e-01,1.68311954e+00,2.89300609e+00,3.51910138e+00,3.78417587e+00,3.90624547e+00,1.73411811e+00,2.85809554e+00,3.51486057e+00,3.79717048e+00,3.90243559e+00
8.80000000e-01,1.67357945e+00,2.86807632e+00,3.48252082e+00,3.74212217e+00,3.86187148e+00,1.72406675e+00,2.83367571e+00,3.47859460e+00,3.75516100e+00,3.85815455e+00
9.00000000e-01,1.66395915e+00,2.84335518e+00,3.44658351e+00,3.70096040e+00,3.81847525e+00,1.71395023e+00,2.80947223e+00,3.44296316e+00,3.71401684e+00,3.81483471e+00
9.20000000e-01,1.65426576e+00,2.81884289e+00,3.41126513e+00,3.66065931e+00,3.77600789e+00,1.70377403e+00,2.78548591e+00,3.40794543e+00,3.67370332e+00,3.77243540e+00
9.40000000e-01,1.64450228e+00,2.79454470e+00,3.37654853e+00,3.62117720e+00,3.73443294e+00,1.69354342e+00,2.76171714e+00,3.37352155e+00,3.63418783e+00,3.73091850e+00
9.60000000e-01,1.63467801e+00,2.77045751e+00,3.34242010e+00,3.58248973e+00,3.69371510e+00,1.68326348e+00,2.73816589e+00,3.33967258e+00,3.59543965e+00,3.69024823e+00
9.80000000e-01,1.62479544e+00,2.74658585e+00,3.30885553e+00,3.54456234e+00,3.65381837e+00,1.67293910e+00,2.71483179e+00,3.30638043e+00,3.55742980e+00,3.65039095e+00
1.00000000e+00,1.61486030e+00,2.72292924e+00,3.27584195e+00,3.50736547e+00,3.61471128e+00,1.66257494e+00,2.69171420e+00,3.27362782e+00,3.52013092e+00,3.61131498e+00
1.02000000e+00,1.60487974e+00,2.69949031e+00,3.24336290e+00,3.47087479e+00,3.57636046e+00,1.65217552e+00,2.66881217e+00,3.24139824e+00,3.48351716e+00,3.57299050e+00
1.04000000e+00,1.59485734e+00,2.67626572e+00,3.21140647e+00,3.43506026e+00,3.53873873e+00,1.64174514e+00,2.64612455e+00,3.20967590e+00,3.44756405e+00,3.53538935e+00
1.06000000e+00,1.58479738e+00,2.65325713e+00,3.17995143e+00,3.39990258e+00,3.50181818e+00,1.63128795e+00,2.62364998e+00,3.17844570e+00,3.41224842e+00,3.49848494e+00
1.08000000e+00,1.57470655e+00,2.63046503e+00,3.14898825e+00,3.36537313e+00,3.46557260e+00,1.62080790e+00,2.60138695e+00,3.14769319e+00,3.37754832e+00,3.46225214e+00
1.10000000e+00,1.56458688e+00,2.60788703e+00,3.11850190e+00,3.33145118e+00,3.42998004e+00,1.61030880e+00,2.57933376e+00,3.11740455e+00,3.34344291e+00,3.42666716e+00
1.12000000e+00,1.55444419e+00,2.58552384e+00,3.08847713e+00,3.29811788e+00,3.39501572e+00,1.59979427e+00,2.55748863e+00,3.08756652e+00,3.30991241e+00,3.39170747e+00
1.14000000e+00,1.54428172e+00,2.56337237e+00,3.05890274e+00,3.26534843e+00,3.36065459e+00,1.58926780e+00,2.53584965e+00,3.05816641e+00,3.27693800e+00,3.35735169e+00
1.16000000e+00,1.53410423e+00,2.54143524e+00,3.02976847e+00,3.23312998e+00,3.32688332e+00,1.57873270e+00,2.51441482e+00,3.02919204e+00,3.24450182e+00,3.32357955e+00
1.18000000e+00,1.52391529e+00,2.51970673e+00,3.00105858e+00,3.20143938e+00,3.29367661e+00,1.56819215e+00,2.49318207e+00,3.00063175e+00,3.21258682e+00,3.29037179e+00
1.20000000e+00,1.51371813e+00,2.49819136e+00,2.97276521e+00,3.17026186e+00,3.26101494e+00,1.55764919e+00,2.47214926e+00,2.97247432e+00,3.18117679e+00,3.25771009e+00
1.22000000e+00,1.50351608e+00,2.47688103e+00,2.94487381e+00,3.13958049e+00,3.22888541e+00,1.54710672e+00,2.45131422e+00,2.94470901e+00,3.15025627e+00,3.22557703e+00
1.24000000e+00,1.49331212e+00,2.45577788e+00,2.91737533e+00,3.10937810e+00,3.19726658e+00,1.53656750e+00,2.43067472e+00,2.91732550e+00,3.11981049e+00,3.19395600e+00
1.26000000e+00,1.48311067e+00,2.43488121e+00,2.89026070e+00,3.07964158e+00,3.16614532e+00,1.52603417e+00,2.41022851e+00,2.89031384e+00,3.08982538e+00,3.16283122e+00
1.28000000e+00,1.47291315e+00,2.41418552e+00,2.86351967e+00,3.05035710e+00,3.13550448e+00,1.51550926e+00,2.38997331e+00,2.86366451e+00,3.06028748e+00,3.13218758e+00
