D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
5.60000000e-01,2.88396637e+00,2.83203476e+00,9.66146267e+00,9.43083837e+00,1.79603683e+01,1.75321887e+01,2.34259935e+01,2.24951446e+01,2.58869073e+01,2.46676866e+01
5.80000000e-01,2.83763264e+00,2.78617095e+00,9.42724447e+00,9.20813999e+00,1.73593530e+01,1.69520978e+01,2.25150495e+01,2.16026268e+01,2.48199889e+01,2.36121409e+01
6.00000000e-01,2.79182530e+00,2.74089017e+00,9.19976468e+00,8.99162641e+00,1.67877687e+01,1.63985110e+01,2.16586700e+01,2.07622676e+01,2.38217674e+01,2.26252702e+01
6.20000000e-01,2.74655021e+00,2.69619325e+00,8.97882083e+00,8.78108493e+00,1.62436093e+01,1.58697839e+01,2.08521976e+01,1.99699061e+01,2.28859265e+01,2.17009604e+01
6.40000000e-01,2.70181243e+00,2.65208030e+00,8.76421240e+00,8.57631210e+00,1.57250420e+01,1.53644060e+01,2.00914891e+01,1.92218071e+01,2.20069010e+01,2.08337902e+01
6.60000000e-01,2.65761633e+00,2.60855083e+00,8.55574165e+00,8.37711331e+00,1.52303900e+01,1.48809866e+01,1.93728469e+01,1.85146077e+01,2.11797684e+01,2.00189362e+01
6.80000000e-01,2.61396555e+00,2.56560380e+00,8.35321431e+00,8.18330227e+00,1.47581161e+01,1.44182430e+01,1.86929608e+01,1.78452722e+01,2.04001588e+01,1.92520929e+01
7.00000000e-01,2.57086307e+00,2.52323765e+00,8.15644011e+00,7.99470059e+00,1.43068098e+01,1.39749899e+01,1.80488583e+01,1.72110528e+01,1.96641793e+01,1.85294058e+01
7.20000000e-01,2.52831122e+00,2.48145039e+00,7.96523318e+00,7.81113740e+00,1.38751739e+01,1.35501302e+01,1.74378629e+01,1.66094567e+01,1.89683509e+01,1.78474135e+01
7.40000000e-01,2.48631170e+00,2.44023961e+00,7.77941239e+00,7.63244890e+00,1.34620144e+01,1.31426472e+01,1.68575581e+01,1.60382169e+01,1.83095546e+01,1.72029995e+01
7.60000000e-01,2.44486566e+00,2.39960253e+00,7.59880156e+00,7.45847802e+00,1.30662302e+01,1.27515963e+01,1.63057566e+01,1.54952674e+01,1.76849863e+01,1.65933506e+01
7.80000000e-01,2.40397366e+00,2.35953604e+00,7.42322959e+00,7.28907408e+00,1.26868047e+01,1.23760998e+01,1.57804739e+01,1.49787212e+01,1.70921178e+01,1.60159209e+01
8.00000000e-01,2.36363575e+00,2.32003673e+00,7.25253059e+00,7.12409248e+00,1.23227978e+01,1.20153399e+01,1.52799053e+01,1.44868519e+01,1.65286639e+01,1.54684015e+01
8.20000000e-01,2.32385150e+00,2.28110092e+00,7.08654389e+00,6.96339433e+00,1.19733391e+01,1.16685544e+01,1.48024058e+01,1.40180766e+01,1.59925535e+01,1.49486931e+01
8.40000000e-01,2.28461997e+00,2.24272468e+00,6.92511405e+00,6.80684622e+00,1.16376216e+01,1.13350316e+01,1.43464732e+01,1.35709413e+01,1.54819057e+01,1.44548835e+01
8.60000000e-01,2.24593981e+00,2.20490387e+00,6.76809083e+00,6.65431994e+00,1.13148960e+01,1.10141063e+01,1.39107327e+01,1.31441087e+01,1.49950079e+01,1.39852273e+01
8.80000000e-01,2.20780925e+00,2.16763412e+00,6.61532913e+00,6.50569220e+00,1.10044661e+01,1.07051560e+01,1.34939237e+01,1.27363460e+01,1.45302976e+01,1.35381280e+01
9.00000000e-01,2.17022614e+00,2.13091093e+00,6.46668889e+00,6.36084441e+00,1.07056838e+01,1.04075973e+01,1.30948881e+01,1.23465155e+01,1.40863464e+01,1.31121230e+01
9.20000000e-01,2.13318794e+00,2.09472959e+00,6.32203498e+00,6.21966246e+00,1.04179453e+01,1.01208833e+01,1.27125604e+01,1.19735657e+01,1.36618457e+01,1.27058696e+01
9.40000000e-01,2.09669181e+00,2.05908528e+00,6.18123713e+00,6.08203650e+00,1.01406872e+01,9.84450034e+00,1.23459583e+01,1.16165230e+01,1.32555947e+01,1.23181336e+01
9.60000000e-01,2.06073458e+00,2.02397303e+00,6.04416975e+00,5.94786071e+00,9.87338362e+00,9.57796577e+00,1.19941751e+01,1.12744848e+01,1.28664890e+01,1.19477782e+01
9.80000000e-01,2.02531278e+00,1.98938777e+00,5.91071185e+00,5.81703317e+00,9.61554278e+00,9.32082551e+00,1.16563720e+01,1.09466135e+01,1.24935118e+01,1.15937549e+01
1.00000000e+00,1.99042268e+00,1.95532431e+00,5.78074684e+00,5.68945563e+00,9.36670445e+00,9.07265200e+00,1.13317726e+01,1.06321304e+01,1.21357247e+01,1.12550953e+01
1.02000000e+00,1.95606032e+00,1.92177740e+00,5.65416246e+00,5.56503340e+00,9.12643749e+00,8.83304230e+00,1.10196564e+01,1.03303109e+01,1.17922610e+01,1.09309036e+01
